AF10    AF10.vcf
AF11    AF11.vcf
AF13    AF13.vcf
AF3     AF3.vcf
AF4     AF4.vcf
AF7     AF7.vcf
AM12    AM12.vcf
AM14    AM14.vcf
AM15    AM15.vcf
AM5     AM5.vcf
AM6     AM6.vcf
AM8     AM8.vcf
AM9     AM9.vcf
HF40    HF40.vcf
HF41    HF41.vcf
HF42    HF42.vcf
HF44    HF44.vcf
HF49    HF49.vcf
HF51    HF51.vcf
HM43    HM43.vcf
HM45    HM45.vcf
HM46    HM46.vcf
HM47    HM47.vcf
HM48    HM48.vcf
HM50    HM50.vcf
YF26    YF26.vcf
YF27    YF27.vcf
YF29    YF29.vcf
YF31    YF31.vcf
YF32    YF32.vcf
YF33    YF33.vcf
YM21    YM21.vcf
YM22    YM22.vcf
YM23    YM23.vcf
YM24    YM24.vcf
YM25    YM25.vcf
YM28    YM28.vcf
